title,company,location,job_type,salary,description
Associate Consultant,HCLTech,Melbourne VIC,Full time,,"Design, implement, and oversee cloud solutions on AWS • Translate business needs into scalable, secure AWS architectures • Provide technical leadership, mentoring, and cloud strategy guidance"
IT Infrastructure Lead (AsiaPac),Weatherbeeta Group,Dandenong VIC,Full time,,"Maintain and enhance IT infrastructure, drive cybersecurity initiatives • Administer Microsoft 365 platform, Active Directory, and network systems • Provide IT support, ensure data backup, manage VoIP phone system"
GCP Cloud Engineer,Launch Recruitment - IT Recruiting,Melbourne VIC,Full time,,"Provisioning and configuring GCP projects with automation • Managing IAM roles and troubleshooting VPC Service Controls • Experience in GCP networking, Terraform, and serverless technologies"
Platform Engineer - FinOps,Suncorp,Melbourne VIC,Full time,,"Lead platform engineering decisions aligned with strategic architecture • Expertise in public cloud platforms, container orchestration, and FinOps • Drive automation, cost optimization, and large-scale platform implementations"
"Data Center Area Manager, DCEO",Amazon Web Services,West Footscray VIC,Full time,,"Manage data center infrastructure operations to ensure high reliability • Lead teams of engineering technicians and oversee improvement projects • Coordinate with vendors, manage budget, and respond to issues"
Senior DevOps Engineer,PRA,Melbourne VIC,Full time,"$150,000 - $180,000","Lead Kubernetes-based containerization platform design and implementation • Modernize platform, migrate legacy systems to cloud-native architecture. • Require IaC, Docker, Kubernetes expertise; focus on automation, security"
Junior DevOps Engineer,The Aquarium,Melbourne VIC,Contract,,"Hands-on experience with cloud tech, CI/CD pipelines, automation • 1-2 years DevOps, Cloud, or Systems Engineering experience required • Skills in Linux/Windows admin, cloud platforms, Docker/Kubernetes"
"Cloud & AI Solution Engineer - Software, Development Tools and AI",Microsoft,Melbourne VIC,Full time,,"Help enterprise developers with AI-powered solutions throughout SDLC • Engage with technical decision makers and lead hands-on engagements • Proficiency in modern languages, frameworks, and developer tools required"
Senior Cloud Engineer,Sirius People,Melbourne VIC,Permanent,,"Design, maintain secure, scalable Azure cloud platform • Lead Azure architecture, governance, security, and networking projects • Expertise in Terraform, PowerShell, CI/CD pipelines, and serverless components"
"Associate Delivery Consultant, AI/ML, Associate to Consultant (A2C), A2C ProServe Shared Delivery (SDT)",Amazon Web Services,Melbourne VIC,Full time,,"Design and implement scalable AWS solutions tailored to customer needs • Provide technical guidance, troubleshooting support, and migration strategies • Experience in cloud architecture, programming languages, and data platforms"
Principal Consultant - AWS Architect,Slalom,Melbourne VIC,Full time,,"Lead team culture, client interactions, and pre-sales pursuits • Design, build, and automate resilient cloud-based applications and migrations • Strong skills in AWS architecture, certifications, and stakeholder management"
Azure DevOps Engineer,Slade Group,Melbourne VIC,Full time,,"Design & maintain Azure DevOps pipelines and repos • Automate and scale Azure infrastructure with IaC (Bicep, ARM) • Mentor engineers, enforce security policies, and optimize costs"
Senior Platform Engineer,DGS - Technology & Digital Platforms,Melbourne VIC,Full time,,"Expertise in AWS ecosystem, infrastructure-as-code, and CI/CD pipelines • Develop, maintain, and troubleshoot cloud and container infrastructure • Collaborate with teams, ensure platform reliability, and meet service objectives"
Senior Consultant - AWS Architect,Slalom,Melbourne VIC,Full time,,"Lead team culture, client interaction, and pre-sales pursuits • Design, build, and automate secure cloud-based applications and migrations • Strong skills in AWS architecture, certifications, and stakeholder management"
Cloud Solution Architect Manager - Cloud and AI platforms,Microsoft,Melbourne VIC,Full time,,"Lead team of Cloud Solution Architects for Cloud and AI • Ensure operational excellence, customer satisfaction, and business impact • Provide technical leadership, prioritize tasks, and support customer centricity"
Senior DevOps Engineer,Global IT Factory,Melbourne VIC,Full time,,"Lead modernization of existing SaaS platform on Oracle Cloud • Build and deploy cloud-native platforms using Kubernetes applications • Manage security, compliance, collaboration, cost, and documentation"
ANZ_GenWizard_ Serverless Cloud Engineer_ATR_CM_2507,Accenture,Melbourne VIC,Full time,,"Architect scalable serverless data solutions and refactor ETL pipelines • Strong proficiency in Python, AWS services, and CI/CD pipelines • High throughput, scalability, cloud deployment experience required."
Data Platform Solution Engineer – Cloud & AI Data Platform - Melbourne,Microsoft,Melbourne VIC,Full time,,"Lead technical sales with demos and PoCs for solution design • Collaborate with developers on secure, scalable architecture solutions • Maintain expertise in Microsoft Analytics portfolio and Azure database services"
"AWS Solution Architect (AWS, Kafka confluent)",eTeam,Melbourne VIC,,,Must have hands on expertise in AWS Good knowledge of Kafka
Senior Cloud Operations Engineer,Bupa Dental,Melbourne VIC,Contract,,"5+ years experience in Azure cloud workloads deployment • Proficiency in PowerShell, Azure Resource Manager, and Azure Automation • Experience with DevOps, Continuous Delivery, and Terraform essential"
DevOps Engineer,Myconnect,Melbourne VIC,Full time,"$100,000 - $130,000","Enhance AWS infrastructure using CloudFormation and CI/CD pipelines • Monitor performance, automate tasks, and collaborate with software engineers • 3+ years DevOps experience, AWS proficiency, scripting skills required"
"Customer Success Specialist - Connect APJ, Amazon Connect (CXE), AWS",Amazon Web Services,Melbourne VIC,,,Drive enterprise-wide adoption of Amazon Connect • Engage with C-level stakeholders to maximize Connect value • Meet revenue targets through increased Connect adoption
Senior Infrastructure & Cloud Engineer,Aurec Group,Melbourne VIC,Permanent,,"Lead design & delivery of modern Azure infrastructure solutions • Drive cloud transformation, automation, and cost optimization initiatives • Require 10+ years experience, Azure expertise, and Microsoft certifications"
Cloud Security Incident Response Senior Analyst,CommBank,Melbourne VIC,Full time,,"Specialist in cloud security across AWS and Azure services • Key role in incident response, vulnerability management, and penetration testing • Proficient in cybersecurity, AWS/Azure security, defensive assessments."
Solutions Architect,Nissan,Mulgrave VIC,Full time,,"Design end-to-end technical architecture for Contract Management System • Lead enterprise integration, cloud environments, data security, and compliance • Engage stakeholders, ensure project delivery excellence, and promote diversity"
Cloud Migration Specialist,Accenture,Melbourne VIC,Full time,,"Lead end-to-end Atlassian cloud migrations for clients • Design cloud architecture solutions and provide technical leadership • Manage data transformations, workflows, and stakeholder communication"
Infrastructure Operations Lead,Hume City Council,Broadmeadows VIC,Full time,"$123,000 - $137,000","Lead infrastructure team in ensuring system reliability and performance • Implement strong security standards and drive cost-effective solutions • Azure, cyber security, enterprise infrastructure transformation experience"
Enterprise Cloud and Infrastructure Support Engineer,Aussie Broadband,Morwell VIC,Full time,,Provide support for cloud and infrastructure technologies • Collaborate with internal teams and external partners for solutions • 1+ years' experience in Service Desk or technical support
Infrastructure Engineer,Cyos Solutions,Melbourne VIC,Contract,$50 - $70,"Develop and implement integration solutions using Microsoft Azure tools • Ensure reliability, scalability, and security of APIs and integration components • Collaborate with cross-functional teams to troubleshoot and optimize solutions"
Senior Azure Devops Engineer- Major Bank- Long term contractNew,Bluefin Resources,Melbourne VIC,Contract,,"Design, automate Azure services with Terraform for Enterprise consumption • Contribute to Azure platform improvement and mentor junior members • Hands-on Azure Devops experience, troubleshooting, and Agile methodology"
Senior Cloud Security Engineer,Heidi Health,Melbourne VIC,Part time,,"Lead cloud security strategy for critical healthcare systems • Implement security controls, threat detection, and IAM policies • 6-8+ years in security engineering, cloud-native security experience"
Cloud Architect: Data Analytics & GenAI,Amazon Web Services,Melbourne VIC,Full time,,Specialized in Data Analytics and GenAI services for AWS • Collaborate with partners and customers on technical engagements • Engage in projects involving migration and modernization of data applications
"Cloud & AI Solution Engineer, AI Applications - Perth",Microsoft,Melbourne VIC,Full time,,"5+ years technical pre-sales or consulting experience with enterprise clients • Bachelor’s Degree in Computer Science or related field required • Preferred: Azure Architect, Developer, or Cloud Platform certification"
Senior Technical Consultant: Cloud Security,NTT,Melbourne VIC,Full time,,"Provide expert guidance on cloud security solutions to clients • Lead and mentor junior engineers, coordinate project activities • Bachelor's degree in IT, cloud certifications, and security experience"
SQL Server Cloud Database Admin(Any where in Australia),XPT Software,Melbourne VIC,Contract,,"Demonstrated SQL Server Architecture knowledge and experience • Proficiency in SQL Server Availability Group, Mirroring, Log Shipping • Experience with public cloud hosting, Azure, AWS, Google"
Environment Engineer,Transurban Group,Docklands VIC,Full time,,"Manage and optimize cloud-based and on-premises environments • Automate infrastructure tasks using Terraform, Ansible, and Kubernetes • 5+ years' IT infrastructure experience, AWS, DevOps practices"
"Solutions Architect, Telco, Media, Entertainment, Gaming, Sports",Amazon Web Services,Melbourne VIC,Full time,,"Consult with customers on modern technology and cloud solutions • Architect and deploy secure, scalable cloud solutions for industries • Collaborate with customers to optimize cloud infrastructure and applications"
Senior Cloud Engineer,Akkodis,Melbourne VIC,Full time,,"Lead cloud deployments & switch installations in Azure/AWS • Design, troubleshoot, and manage cloud infrastructure & network solutions • Experience with payment systems, financial networks, and relevant certifications"
System Engineer - Vmware & Azure,The Network,Melbourne VIC,Permanent,,"Manage Azure cloud solutions for performance and high availability • Administer Windows, Linux, VMware environments; automate tasks with scripts • Implement security best practices, collaborate for system operations"
Senior Solution Architect,Talent Corp,Melbourne VIC,Contract,,Design and develop solution architectures for enterprise-class business systems • Evaluate new technologies and tools to align with architectural standards • 7 years experience in AWS & Snowflake environment required
Cloud & AI Solution Engineer – Data Platform,Microsoft,Melbourne VIC,Full time,,"Lead technical sales with demos and PoCs for solution design • Drive adoption of Microsoft's cloud platforms through hands-on engagements • Develop secure, scalable architectures, resolve technical issues"
Azure Devops Engineer- Major Bank - Long term contract,Bluefin Resources,Melbourne VIC,Contract,,"Design, automate Azure services with focus on security, compliance • Expertise in Azure architecture, Devops, and Terraform required • Mentor junior members, contribute to platform enhancements and improvements"
Principal Engineer - Cloud & Platforms,REA Group,Richmond VIC,Full time,,"Lead cloud ecosystem architecture & technical excellence • Guide engineering squads in system reliability & health improvement • Expertise in multi-cloud, Kubernetes, FinOps, and platform engineering"
DevOps Engineer,Zone IT Solutions,Melbourne VIC,,,"Manage and optimize Snowflake data platform for seamless integration • Build and maintain CI/CD pipelines using Jenkins, GitLab CI/CD • Expertise in Snowflake architecture, SQL, ETL/ELT processes required"
Data Architect,Uniquehire,Melbourne VIC,Full time,"$200,000 - $220,000","Design and implement cloud native data architectures on AWS • Define data models, integration patterns, and architecture blueprints • Lead modernization of legacy wagering data systems into cloud solutions"
AWS/Snowflake Data Engineer,eTeam,Melbourne VIC,,,"Design, deploy, and operate cloud solutions using AWS technologies • 4+ years experience in data engineering with strong ETL skills • Proficient in Redshift, Python, Tableau, and Snowflake (preferred)"
"Technical Account Manager PS, ES ANZ TAM",Amazon,Melbourne VIC,Full time,,"Lead customers in building and running applications on AWS platform • Provide technical guidance, support strategy, and project assistance • Engage at account level, drive technical discussions, and reduce complexity"
Senior Cloud Security Engineer,Iterate,Melbourne VIC,Contract,,Lead cloud security initiatives aligned with strategic priorities • Design and implement advanced AWS security controls across services • Work in collaborative security team to strengthen cloud security
IT Infrastructure Engineer - $160-180K + Super - (This Role is Onsite),Emanate Technology,Brooklyn VIC,Full time,$160,"Design, implement, and support complex ICT and IT solutions • Provide Level 3 technical support for network, virtualization, compute • Experience with Microsoft Azure, M365, and ICT monitoring tools"
Senior Solutions Engineer,NetApp,Melbourne VIC,,,Designing tailored storage technology solutions to address unique customer challenges Conveying the advantaged of NetApp storage...
DevOps Engineer,Bluefin Resources,Melbourne VIC,Full time,,"Hands-on role solving infrastructure challenges and enabling faster deployments • Leading transition to Infrastructure as Code (IaC) with Terraform • Experience with Azure, CI/CD tools, Terraform, and containerisation"
Senior Solutions Architect - Public Sector (Melbourne),Amazon,Melbourne VIC,Full time,,"Architect cloud solutions for education sector with AWS technologies • Lead technical engagements and ensure successful project delivery • Provide thought leadership, share best practices, and conduct knowledge sessions"
Infrastructure Solution Designer,Toll Group,Port Melbourne VIC,Full time,,"Design secure, scalable, and cost-effective infrastructure solutions • Expertise in Cisco networking, Azure, AWS, and security tools • Degree in IT, Cisco certifications, and hands-on infrastructure experience"
Qualys Cloud Security Engineer,Akkodis,Melbourne VIC,Casual,,"Deploy and manage Qualys in cloud environments • Implement vulnerability scanning and remediation processes • Support internal teams, document configurations, and conduct audits"
Packaged App Development Team Lead,Accenture,Melbourne VIC,Full time,,"Manage Oracle, SQL Server, MySQL, PostgreSQL databases for performance • Troubleshoot and resolve complex database issues promptly • Collaborate with IT teams, developers, and stakeholders for solutions"
Azure DevOps Engineer,Talent International,Hawthorn VIC,Full time,,"Design, implement, and maintain secure and scalable cloud infrastructure • Develop and manage infrastructure as code using Azure Bicep • 5+ years experience in DevOps or cloud engineering role required"
DevOps Engineer,Saab,Melbourne VIC,Full time,,"Design, implement, and maintain CI/CD pipelines for software deployment • Manage infrastructure as code and containerization platforms • Strong problem-solving skills, scripting abilities, and security practices"
"Presales Consultant $180-300k base, super, comms",xtend recruitment,Melbourne VIC,,$180,"Promote solutions at events like VMUGs, VMworld, Microsoft TechEd • Provide Azure Cloud & MCS Hybrid Cloud Architecture expertise • Engage with partners to drive onboarding and enablement"
IT Support Engineer (Level 2) | MSP | Mainly WFH,Robert Half,Melbourne VIC,Permanent,"$85,000 - $95,000","Provide Level 2 IT support for Azure & M365 solutions • Troubleshoot desktop, server, network connectivity issues for end users • Collaborate with team, focus on automation, and process improvements"
Tech Lead - Online Platforms / DevOps,Kmart,Mulgrave VIC,Part time,,"Lead DevOps team in building critical online shopping platform • Utilize cloud technologies, particularly AWS, for system scalability • Experience in Agile, DevOps environments with focus on continuous improvement"
"Senior Partner Data Cloud Architect, Apps - APJ",Snowflake,Melbourne VIC,Full time,,"Lead partner enablement through training, workshops, and webinars • Collaborate with strategic Data Cloud Product partners and solution providers • Utilize technical expertise to drive strategic engagements and enable partners"
Solution Architect,Uniting AgeWell,Melbourne VIC,Full time,"$15,900 - $15,900","Design and implement digital solutions aligned with business objectives • Provide technical leadership across cloud, on-premise, and hybrid environments • Assess new tech, plan infrastructure, ensure high availability"
Infrastructure Manager,Cabrini Health,Melbourne VIC,Permanent,"$170,000 - $180,000","Lead team supporting Cabrini's critical infrastructure for patient care • Experience in service management, governance, and vendor collaboration required • Tech trends, cloud migration, service delivery understanding"
Infrastructure Engineer - Backup & Storage,The Network,Melbourne VIC,Permanent,,"Lead design, implementation of high-performing storage solutions • Mentor junior engineers, troubleshoot storage systems, automate operations • 4-5 years IT infrastructure experience, Bachelor's in Computer Science"
"Application Modernisation Delivery Consultant, Contact Center Technology, Professional Services",Amazon Web Services,Melbourne VIC,Full time,,Lead complex projects in cloud computing technologies and IT implementation • Architect scalable solutions and provide technical leadership to customers • Experience with software development life cycle and continuous delivery
Azure Finops Analyst,Granite Consulting,Melbourne VIC,Contract,,"Manage capacity and forecast resource requirements for infrastructure • Analyze and optimize infrastructure spending, drive cost-saving initiatives • Bachelor’s in Computer Science, 3+ years cloud IT experience required"
Principal Architect AWS,Fujitsu,Melbourne VIC,Full time,,"Lead AWS business development and provide thought leadership • Design secure, scalable multi-account AWS environments • Collaborate with AWS, share knowledge, and drive technology leadership"
ICT Cloud Database Administrator,The Royal Children's Hospital Melbourne,Parkville VIC,Full time,,"Maintain Oracle and SQL Server databases for cloud and on-premises • Support cybersecurity protections and Oracle e-Business Suite • Experience in SQL Server, Linux, Windows Server, and DR environments"
Devops Engineer,XPT Software,Melbourne VIC,Contract,,"Hands-on experience in Infrastructure as Code with Shell scripts • Expertise in CI/CD pipeline using Bamboo, Bitbucket, and Nexus • Deep understanding of AWS core services and Splunk usage"
AWS Sys Admin,CalibrX,West Melbourne VIC,Full time,"$100,000 - $120,000","Manage AWS infrastructure and system performance for peak efficiency • Troubleshoot hardware, software, and user issues; ensure data security • 2+ years' experience in AWS, Linux/Windows OS, scripting, telecoms"
Cloud & AI Solution Engineer,Microsoft,Melbourne VIC,Full time,,"Lead technical sales with demos and PoCs for solution design • Build relationships, resolve technical blockers, and maintain deep expertise • Represent Microsoft in cloud Database & Analytics communities"
"Senior Technical Program Manager, Data Centre Delivery",Amazon,Melbourne VIC,,,"Lead cross-functional teams in delivering Data Centre capacity projects • Minimum 7 years experience in technical project management required • Strong communication, negotiation, and analytical skills essential for success"
Oracle Cloud Infrastructure (OCI) Admin Architect,eTeam,Melbourne VIC,,,"Design and implement Oracle Cloud Infrastructure architecture • Perform migrations to OCI, setup HA/DR strategies, and networking tasks • Experience with system administration, scripting, and automating procedures"
Senior Technical Consultant: Cloud Security,NTT Communications,Melbourne VIC,Full time,,"Provide expert guidance on cloud security solutions to clients • Lead and mentor junior engineers, coordinate project activities • Bachelor's in IT, cloud certifications, advanced experience in security"
Senior Software Engineer (Data Platforms),carsales,Melbourne VIC,Full time,,"Lead data architecture delivery & product development practices • Collaborate across data disciplines, mentor early-career engineers • Design, build, and integrate with cloud services & APIs"
Azure Finops Analyst,Granite Consulting,Melbourne VIC,Contract,,"Manage capacity, forecast resource requirements, and build financial models • Strong expertise in Microsoft Azure, FinOps, and cost management • Collaborate with teams, maintain documentation, drive cost-saving"
Information Technology Services (ITS) - Senior Systems Administrator,Central Highlands Rural Health Service,Ballarat Central VIC,Full time,$46 - $46,"Manage Microsoft 365 services, on-premises systems, and cybersecurity controls • Lead system upgrades, resolve incidents, and mentor junior team members • Minimum 5 years' experience with Microsoft 365, Windows Server, and SQL"
DevOps Engineer,SmartyGrants,North Melbourne VIC,Full time,,"Maintain and improve software platform for diverse clients • Coordinate with hosting service provider and manage production infrastructure • Experience in Linux, Java, AWS, Docker, and security practices"
Platform Engineer- In-country Apps,DLA Piper,Melbourne VIC,,,"Manage Azure cloud environments for scalable, secure infrastructure • Implement DevOps practices, troubleshoot complex issues, and document systems • Experience with monitoring tools, IaC, regulatory frameworks, and automation"
DevOps Engineer,Saab,Hawthorn VIC,Full time,,"Design, implement, and maintain CI/CD pipelines for software deployment • Automate tasks using configuration management tools and scripting languages • Oversee infrastructure code, containers, and security practices"
DevOps Engineer,Edge Electrons Limited,East Melbourne VIC,Full time,"$120,000 - $150,000","Manage AWS environments, CI/CD pipelines, and infrastructure automation • Ensure stability, security, scalability, and cost efficiency of systems • Lead incident resolution, security audits, and operational support tasks"
Customer & Software Support - Full Time - Remote or Hybrid Work Environment,Modeus,Melbourne VIC,Full time,,"Provide 1st and 2nd level support for healthcare software • Assist with technical implementations and remotely install cloud software • 2+ years experience in similar role, Windows skills, SaaS support"
AI / ML Systems Engineer,S2M,Melbourne VIC,Full time,"$200,000 - $300,000","Design and maintain distributed systems for ML research • Develop tooling to accelerate experimentation and model training • Manage compute infrastructure, partner with researchers, identify bottlenecks"
Solution Architect - AWS,eTeam,Melbourne VIC,,,"Design and implement database solutions for company data • Ensure compliance with regulations and oversee data migration • Provide training, support, and recommendations for database systems"
Architect / Consultant (VMware Cloud Foundation – VCF),Green Light,Melbourne VIC,Contract,,"Design and deploy tailored VMware Cloud Foundation solutions • Collaborate with stakeholders for seamless implementation and integration • Require extensive VMware experience, NSX, vRA/vRO skills advantageous"
Senior Cloud Engineer,GPC Asia Pacific,Rowville VIC,Full time,,"Design, implement and maintain cloud infrastructure solutions • Collaborate with cross-functional teams on technical projects • Experience with AWS, Azure, or Google Cloud Platform required"
Information Technology Services,Central Highlands Rural Health,Ballarat VIC,Full time,$46 - $46,"Manage Microsoft 365 services and on-premises systems • Lead system upgrades, cybersecurity controls, and IT projects • Minimum 5 years' experience in senior system administration role"
Senior DevOps Engineer,Preacta Recruitment,Melbourne VIC,Full time,,As the Senior DevOps Engineer you will be responsible for managing uptime for our customer facing system infrastructure and maintaining...
"Technical Programme Manager , Data Centre Delivery",Amazon,Melbourne VIC,,,"Lead technical teams in delivering new Data Centres infrastructure • Manage project budgets, resources, quality, and risk management • Experience with MS Office, MS Project, and MS SharePoint"
Senior Machine Learning Operations Engineer,Easygo,Melbourne VIC,Full time,,"Lead end-to-end ML infrastructure design, implementation, and maintenance • Expertise in cloud infrastructure management, CI/CD pipelines, and Python • Collaborate with data scientists, mentor junior engineers"
Technical Delivery Manager,SS&C Technologies,Melbourne VIC,Full time,,"Lead end-to-end planning and delivery of AU Private Cloud project • Manage technical stakeholders, steer complex technical decisions • Proven experience in digital transformation, cloud migration programs"
Senior Infrastructure Engineer,Culture Amp,Melbourne VIC,Full time,,"Manage AWS infrastructure and cloud architectures aligned with business needs • Support corporate and remote office networking using Cisco Meraki • Experience with Okta administration, Windows Server, and scripting/automation"
Azure Integration Engineer,Rapid Circle,Melbourne VIC,Full time,,"Hands-on Azure engineer for cutting-edge projects • Solid cloud architecture & development experience in C# or Python • Expertise in Azure services, SDLC, DevOps, and AI tools"
AI & Cloud Telephony Engineer - Redefine Guest Experience at Global Scale,Hill McGlynn Recruitment,Melbourne VIC,Full time,,"Lead AI integration for global cloud-based voice system • Utilize AWS, Asterisk, and NLP/NLU platforms for automation • Collaborate on user-centric features for hospitality tech innovation"
Principal Consultant - VIC,Atlis Consulting,Melbourne VIC,Full time,,"Lead data and analytics projects, providing strategic advice and solutions • Oversee project delivery, mentor teams, and drive revenue growth • Hands-on experience in data engineering, cloud platforms, and DevOps"
Snr. Azure DevOps Engineer,Granite Consulting,Melbourne VIC,Full time,,"Manage Azure cloud environment with Infrastructure as Code principles • Design and manage cloud-native and hybrid architectures in Azure • Expertise in Azure services, IaC, containerization, and cloud security"
Platform Engineer,Acenda,Melbourne VIC,Full time,,"Minimum 3 to 5+ years experience in Linux systems • Expertise in containerization, scripting, and Infrastructure-as-Code tools • Experience with VMware Cloud, AWS, risk management, and audit compliance"
Data Engineer (APS6),Talent International,Richmond VIC,Contract,$115 - $135,"Proficient in AWS services: Glue, S3, Lambda, EC2, RDS • Experience in data pipeline design using ETL/ELT frameworks • Strong programming skills in Python, SQL proficiency, Control-m experience"
"Senior DevOps Engineer, Trading Technology",Binance,Melbourne VIC,Full time,,Automate operational activities and enhance engineering productivity • Design and implement configuration and infrastructure solutions for deployments • Minimum 7 years' technical experience in supporting large-scale systems
Principal Data Engineer,E1,Melbourne VIC,,"$190,000 - $205,000","Lead data strategy, architecture, and data pipeline development • Mentor engineers, optimize databases, and champion best practices • Expertise in relational databases, cloud-based data platforms, and modern tools"
Application Support and DevOps Engineer,Novatti Group,Melbourne VIC,,,"Expert troubleshooter for application issues, ensuring timely resolution • Develop and maintain automation scripts, system integrations, and workflows • Administer Linux systems, perform log analysis, and manage AWS environments"
Cloud Security Architect - AWS,NCS,Melbourne VIC,Full time,,"Design & implement AWS security architectures following best practices • Lead threat modeling, risk assessment & mentor engineering teams • Strong knowledge of AWS security ecosystem & compliance standards"
Platform Lead - Azure Integration Engineer,Emmbr,Melbourne VIC,Full time,"$150,000 - $160,000","Lead Azure integration platform design and development • Hands-on experience with Azure services and cloud-native architecture • Mentor engineers, troubleshoot integration challenges, guide best practices"
Senior DevOps Engineer - Marketing Data,Xero,Melbourne VIC,Permanent,,Design and evolve core platform infrastructure on AWS using Terraform • Develop integrations between platforms and AI tools for data accessibility • Build robust CI/CD pipelines for Data Engineering and Data Scientist teams
Platform Engineer,Pulselive,Melbourne VIC,Full time,"$105,280 - $128,244","Maintain system stability and efficiency in fast-paced environment • Collaborate with teams to troubleshoot and resolve backend issues • Experience with AWS, Kubernetes, SQL, and CI/CD workflows required"
AI / ML Systems Engineer,S2M,Melbourne VIC,Full time,"$200,000 - $300,000","Design and maintain distributed systems for large-scale ML research • Develop tooling to accelerate experimentation and model training • Manage compute infrastructure, partner with researchers, identify bottlenecks"
Data Center Operation Technician,Amazon Web Services,Melbourne VIC,Full time,,"Troubleshoot and resolve data center infrastructure issues • Physical data center activities including rack deployment and troubleshooting • 24x7 On-Call requirements, project management, and team mentoring"
Gen Al Solution Architect,Capgemini,Melbourne VIC,Full time,,"Lead design & deployment of cutting-edge AI solutions • Integrate AI capabilities into ERP, CRM, and ITSM platforms • Architect and implement scalable Generative AI solutions across cloud platforms"
Senior ServiceNow Consultant,AC3,Melbourne VIC,,"$160,000 - $170,000","Design and implement IT solutions for customer strategies • 5+ years' experience as an end-to-end ServiceNow Consultant • Strong ITSM, ITOM, SecOps experience; relevant industry certifications required"
Solutions Architect - Migrations,Snowflake,Melbourne VIC,Full time,,Lead migration process for customers to Snowflake platform • Minimum 10 years experience in technical pre-sales or post-sales • University degree in computer science or related field required
Lead DevOps Engineer,eTeam,Melbourne VIC,,,"Expertise in AWS, Azure DevOps, Docker, Kubernetes, and scripting • Experience with CICD, Jenkins, and modern service orientation technologies • Strong problem-solving skills and continuous delivery pipeline experience"
Principal Consultant - VIC,Altis Consulting,Melbourne VIC,Full time,,"Lead data and analytics projects, provide expert advice • Design high-quality business solutions, mentor junior team members • Experience in Cloud Platforms, data modeling, and project management"
Software Engineer - AWS,Shell Energy,Melbourne VIC,Full time,,"Develop and maintain applications using .NET technologies and AWS • Ensure application performance, security, and compliance with standards • Collaborate in Agile/Scrum teams, with strong communication skills"
Data Engineer,Asahi Beverages,Melbourne VIC,Contract,,"Develop reusable data assets using Denodo Data Virtualisation platform • Collaborate with architects to align solutions with enterprise standards • Solid experience in enterprise data modeling, ETL design required"
Data Engineer,ASIC,Melbourne VIC,Casual,"$123,444 - $144,368","Support data delivery and infrastructure across the organization • Design and maintain data ingestion pipelines, ETL processes • Experience with cloud platforms, BI tools, Python, and SQL"
Systems Development Manager,Amazon Web Services,Melbourne VIC,Full time,,"Lead engineering team in developing and managing massively scaled services • Hire, develop, and mentor team members in a high-growth environment • Collaborate with Product Teams to design efficient solutions using AWS"
Systems Engineer - Windows,Amazon,Melbourne VIC,,,"Lead automation of Windows infrastructure solutions in diverse environments • Skilled in Active Directory, PowerShell, enterprise-scale management • Experience with virtualization technologies and large-scale automation solutions"
"Snr Engagement Mgr, AWSI, Global Accounts Professional Services",Amazon Web Services,Melbourne VIC,Full time,,"Lead and manage AWS consultants, partners, and client teams • Guide customers through cloud journey, transform business, exceed expectations • Plan, organize, and manage project lifecycle for successful delivery"
SOLUTIONS CONSULTANT - Managed Services - Consulting & Tech Delivery!,Saul Recruitment,Melbourne VIC,,"$120,000 - $160,000","Lead pre-sales consultation & technical delivery of Managed Services projects • Architect technical projects incl. Microsoft 365 & Azure Migrations • Strong expertise in Microsoft 365, Azure, networking, cybersecurity, scripting"
"Security Consultant, Application Security",CyberCX,Melbourne VIC,Full time,,"Deliver various Application Security services like secure code reviews • Build relationships with customers, identify opportunities, and act as SME • 1+ years experience in application security, DevOps, secure code reviews"
"Transformation Director, Australia Financial Services",Microsoft,Melbourne VIC,Full time,,Drive strategic discussions with executive stakeholders for sales opportunities • Utilize AI-driven market intelligence tools to assess trends • Maximize business objectives by leveraging deep understanding of businesses
"DevOps Engineer (.Net, AWS)",eTeam,Melbourne VIC,,,5+ years experience in C# and .NET Core development • Strong database skills in Oracle/SQL Server • AWS cloud experience and Agile development knowledge required
Service Desk Analyst,AC3,Melbourne VIC,,"$65,000 - $65,000","Provide Level 2 technical support via phone, email, self-service • 2+ years experience in service desk or technical support role • Strong knowledge in Windows, Active Directory, Office 365, ITSM"
Cloud Enablement Architect and Documentation Specialist,Kirra Services,Melbourne VIC,,,"Hybrid role: cloud architecture advisory and technical documentation • Engage with Defence teams for cloud readiness and migration needs • Skills in cloud architecture, technical writing, stakeholder engagement required"
General Manager - New Business (Cloud),Interactive Pty Ltd,Port Melbourne VIC,Full time,,"Lead team to achieve new business sales targets • Develop and execute Cloud new business strategy • Experience in MSP or vendor selling cloud, cyber services"
Senior DevOps Engineer - Marketing Data,Xero,Melbourne VIC,Permanent,,"5+ years' experience in DevOps and Software Development • Strong Python skills for building high traffic services • Expertise in CI/CD tools, Infrastructure as Code, Docker, Kubernetes"
IT Asset and Configuration Lead,Precision Sourcing,Melbourne VIC,Permanent,"$120,000 - $130,000","Manage IT assets lifecycle and configuration data accuracy • Provide technical support, resolve daily IT issues for staff • Maintain IT asset register, conduct audits, and manage vendors"
Senior DevOps Engineer,Heidi Health,Melbourne VIC,Full time,,"Lead infrastructure excellence for healthtech startup • Design scalable, secure cloud infrastructure; CI/CD pipelines • Collaborate with AI, backend, frontend teams for system reliability"
